country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
Colombia,4770,4970,5200,5560,5960,6300,6400,6620,6650,6360,6550,6680,6830,7070,7540,8110,8800,9500,9840,9960,10300,11200,11800,12400,13200,13800,14100,14200,14500
Comoros,1670,1590,1730,1760,1650,1700,1660,1710,1710,1720,1900,1940,1960,1990,2040,2110,2180,2210,2280,2320,2370,2460,2530,2630,2670,2670,2730,2830,2930
"Congo, Dem. Rep.",,,,,510,500,530,500,490,450,450,420,440,460,480,510,540,560,570,590,620,650,680,700,760,800,850,860,900
"Congo, Rep.",2870,2980,3160,2880,2880,2010,2050,2520,2720,2400,2600,2670,2820,2880,2740,2870,3030,3080,3450,3550,3920,3980,4250,4450,4980,6030,5410,5070,5060
Costa Rica,4800,5040,5500,5890,6210,6410,6480,6790,7110,7210,7430,7720,7960,8330,8830,9370,10300,11300,12000,11700,12200,12900,13600,13900,14400,14900,15600,16100,16700
Cote d'Ivoire,1820,1850,1840,1810,1860,1980,2130,2220,2320,2310,2160,2100,2030,1940,2070,2300,2350,2400,2460,2500,2520,2400,2660,2840,3130,3340,3550,3760,4020
Croatia,,,,,,,,,,,10400,11400,12400,13100,14300,15000,17000,18900,20200,19300,19100,20100,20400,21300,21600,22900,23800,26000,27200
Cyprus,13300,13500,14600,14700,15600,16200,16500,16800,19300,18500,19500,21200,22300,23300,24500,26300,28300,30800,34300,33800,32900,34200,31600,30000,29200,31500,33000,35800,39900
Czech Republic,,,11700,12100,12700,13700,14400,14500,14700,15100,15900,17100,17600,18800,19800,21000,22300,24500,26000,25700,25600,26600,27300,28700,30100,31400,33000,35700,37500
Denmark,17600,18400,19200,19700,21200,22300,23300,24500,25500,26400,28000,29000,30300,30500,33000,34400,37800,39200,41700,40700,43700,45300,45800,48200,49600,50600,52000,55600,56400
Dominica,4210,4360,4560,4780,4790,5000,5170,5450,5810,5760,5770,6190,6030,6540,6800,7130,8010,8670,9530,9610,9870,10000,9930,10200,10300,10100,10100,11500,10300
Dominican Republic,3420,3530,3940,4180,4330,4590,4910,5350,5670,5980,6310,6510,6820,6600,6740,7720,8610,9360,9860,9920,10700,11100,11500,12000,13000,14000,14900,15600,17000
Ecuador,4460,4770,4930,5070,5300,5440,5500,5740,5840,5390,5460,5800,6070,6230,6780,7290,7740,8000,8660,8660,8980,9730,10300,10900,11300,11200,11000,11200,11400
Egypt,3730,3940,4110,4240,4410,4630,4850,5100,5360,5630,6000,6240,6380,6560,6890,7230,7880,8550,9170,9420,9620,9730,9940,10100,10400,10800,11100,11500,12100
El Salvador,2850,2950,3210,3440,3650,3860,3910,4050,4170,4240,4370,4470,4570,4670,4810,5070,5460,5690,5960,5790,5970,6290,6500,6700,6900,7110,7300,7530,7860
