country,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
St. Lucia,5550,5670,6250,6290,6480,6600,6890,6850,7240,7480,7530,7250,7440,7760,8370,8520,10100,10400,11000,11000,11100,11900,11900,11900,11600,11400,12100,12700,13000
St. Vincent and the Grenadines,3450,3610,3980,4250,4240,4680,4870,5080,5350,5500,5730,6010,6480,7010,7430,7870,8840,9010,9820,9830,9630,9770,10200,10400,10500,10900,11400,11700,12200
Sudan,1050,1060,1160,1240,1280,1360,1470,1620,1660,1670,1740,1820,1920,2020,2100,2270,2540,2800,3000,3020,3070,3490,3800,2690,3970,4140,4260,4460,4430
Suriname,6730,7010,7080,6550,6860,6930,7000,7270,7450,7250,7400,7160,8130,8710,9550,10400,11200,12200,12900,13200,13500,13900,14700,15500,15800,15400,14100,13100,13800
Swaziland,3850,3970,4100,4110,4010,4460,4780,4910,4800,5040,5000,5360,5310,5480,5930,6810,7040,7550,7610,7580,7660,8320,8890,9460,9590,9910,9930,10100,10600
Sweden,19900,20100,19900,19700,21100,22400,23300,24200,25300,27300,29500,29800,30800,32100,33800,34500,38400,41800,43400,41100,43300,45400,46300,47200,48000,49400,49800,52700,54000
Switzerland,28200,28500,28800,29300,29800,30600,31400,33200,34500,35700,38100,38200,38700,40200,41600,44000,48500,50100,49200,52800,56200,56800,59100,61400,62200,65500,64700,67100,68800
Tajikistan,2380,2230,1590,1340,910,900,720,780,810,840,900,990,1100,1200,1370,1480,1600,1760,1920,1960,2590,2860,3070,3400,3380,3410,3530,3710,4050
Tanzania,960,990,980,980,990,1030,1080,1100,1140,1180,1230,1280,1380,1450,1560,1670,1810,1910,2000,2070,2140,2290,2370,2500,2640,2740,2860,3020,3140
Thailand,4260,4720,5120,5660,6180,6740,7130,6940,6340,6710,7170,7450,7900,8510,9200,9810,10600,11500,11800,11800,12700,13200,14100,14300,14900,15500,16200,17100,18200
Timor-Leste,,,,,,,,,,,3440,3630,4070,3340,2680,2710,4060,6010,7220,7070,7360,7970,6760,6800,5650,7390,7390,6750,7010
Togo,830,830,800,680,750,820,900,1020,980,970,960,940,930,970,990,1010,1050,1080,1120,1160,1210,1360,1360,1440,1520,1620,1650,1690,1780
Tonga,2380,2590,2640,2790,3100,3180,3250,3290,3460,3540,3650,3840,4110,4210,4300,4410,4550,4470,4650,4810,5050,5300,5500,5450,5610,5910,6130,6420,6520
Trinidad and Tobago,6530,6870,7700,7890,8190,8740,9350,10500,11500,12600,13500,14500,16000,18400,21000,22400,25900,28000,29400,27900,29100,27600,29000,31000,30900,33400,31100,31600,31000
Tunisia,3520,3660,3930,3960,4120,4270,4560,4880,5120,5460,5760,6070,6200,6580,7110,7440,8030,8640,9050,9390,9750,9660,10200,10500,11100,11200,11400,11700,12100
Turkey,6040,6190,6610,7200,6780,7350,7890,8490,9000,8640,9440,8990,9150,9430,10700,11800,13500,14700,15900,15300,17300,19500,20500,22100,23800,25300,25900,27600,27600
Turkmenistan,,,,4450,3770,3390,3620,3300,3450,3970,3980,4340,4390,4640,4940,5390,6140,7150,8040,8400,8920,10100,11300,12500,13800,15100,16500,17300,18500
Tuvalu,,,,,,,,,,,,4730,5830,4050,4460,4400,4410,5150,5120,5250,4680,4740,4050,5020,4420,5680,5660,5580,6100
Uganda,490,520,520,570,600,670,720,750,780,830,830,860,930,970,1030,1090,1210,1310,1410,1470,1530,1650,1690,1720,1780,1830,1870,1890,1970
Ukraine,6940,6550,5900,5060,4080,3650,3380,3370,3350,3390,3700,4230,4580,5170,5990,6410,7110,7910,8350,7120,7550,8090,8340,8500,8610,7880,8210,8460,9030
United Arab Emirates,,,,,,,,,,,86200,84800,80500,82900,85600,82900,81700,75200,67500,57600,54200,56600,59000,62700,66600,70600,72800,73700,75400
United Kingdom,17000,17400,18000,18900,20300,19900,21200,22700,23700,24300,26500,28000,29400,30700,32300,33100,34800,35400,36300,34700,36400,37300,37900,39200,40400,41500,42500,44800,45400
United States,23600,24100,25100,25900,27300,28500,29900,31500,33100,34700,36800,37700,38400,39700,42100,44600,47200,48300,48300,46900,48900,50800,53100,54300,56700,58300,59000,61000,63700
Uruguay,6150,6630,7310,7630,8290,8300,8880,9790,10300,10200,10200,10000,9480,9290,10000,11200,12100,13200,14300,15000,16200,17400,17600,19000,19700,20400,20800,21400,21900
Uzbekistan,,,2220,2180,2070,2050,2080,2170,2270,2360,2460,2580,2700,2840,3120,3410,3720,4320,4800,4980,5150,5520,5950,6420,7130,7460,7810,8250,8810
Vanuatu,1700,1570,1560,1690,1650,1770,1760,1820,2050,2080,2140,2130,1950,2010,2080,2170,2420,2540,2840,2790,2790,2820,2750,2940,3020,2960,3000,3090,3250
Venezuela,9340,10400,10800,10900,10600,11100,11000,11700,11600,11000,11500,11800,10600,9840,11700,13300,15000,16700,17600,16700,16300,16900,17900,18100,17900,,,,
Vietnam,890,960,1070,1150,1270,1420,1550,1680,1770,1870,2180,2350,2510,2700,2970,3000,3260,3530,3760,3560,4180,4460,4750,5030,5350,5680,6100,6340,6930
Yemen,2210,2250,2390,2430,2520,2540,2490,2580,2780,2740,2930,3050,3110,3150,3230,3420,3660,3790,3850,4020,4210,3600,3760,3900,3800,,,,
Zambia,1390,1350,1350,1480,1360,1400,1480,1520,1480,1560,1620,1700,1770,1890,1950,2080,2210,2350,2600,2930,3050,3250,3590,3610,3820,3860,3910,3910,4100
Zimbabwe,1770,1880,1700,1740,1900,1910,2140,2190,2230,2250,2220,2300,2140,1810,1730,1680,1640,1590,1280,1370,1660,1860,2210,2330,2400,2410,2460,2580,3020
